,사고원인
201,"부주의, 작업순서 미흡, 구조물등 그밖의 위험방치 및 미확인, 불안전한 작업자세, 작업자의 단순과실"
202,"작업신호 불량, 복장, 개인보호구의 부적절한 사용"
203,철골빔 앵커볼트 빠짐
204,"작업자의 단순과실, 불안전한 작업자세"
205,"작업중 이동, 작업 공간 협소"
206,"무모한 또는 불필요한 행위 및 동작, 작업자의 단순과실"
207,"구조물등 그밖의 위험방치 및 미확인, 설비,기계등의 부적절한 사용 관리, 불안전한 작업자세, 작업자의 단순과실, 무모한 또는 불필요한 행위 및 동작"
208,"구조물등 그밖의 위험방치 및 미확인, 설비,기계등의 부적절한 사용 관리, 불안전한 작업자세, 무모한 또는 불필요한 행위 및 동작, 작업자의 단순과실"
209,"무모한 또는 불필요한 행위 및 동작, 불안전한 작업자세, 설비,기계등의 부적절한 사용 관리"
210,"브레이크 파열, 파손"
211,지반침하
212,"작업순서 미흡, 복장, 개인보호구의 부적절한 사용"
213,"중량물 운반, 부주의"
214,"버팀대 설치 미흡, 불안전한 작업자세, 중량물 운반, 중량물 하중집중"
215,"해체작업 방법 불량, 해체작업 순서 불량"
216,"작업자의 단순과실, 기타"
217,부등침하
218,"부주의, 기타"
219,"조립불량, 무모한 또는 불필요한 행위 및 동작, 복장, 개인보호구의 부적절한 사용, 작업자의 단순과실"
220,"불안전한 작업자세, 복장, 개인보호구의 부적절한 사용"
221,"장비운용 미흡, 불안전한 작업자세, 작업자의 단순과실"
222,토사반출 방법 불량
223,"불안전한 작업자세, 작업자의 단순과실, 적재방법 불량"
224,부적절한 흙막이 설치
225,"적재방법 불량, 불안전한 작업자세"
226,"불안전한 작업자세, 무모한 또는 불필요한 행위 및 동작"
227,철근자중 및 이상응력
228,"인양로프 해체방법 미흡, 작업신호 불량"
229,"연결부 파손 , 지지용 앵커 탈락"
230,"작업중 충돌, 불안전한 작업자세"
231,"작업자의 단순과실, 부주의"
232,"부주의, 작업자의 단순과실, 구조물등 그밖의 위험방치 및 미확인"
233,"작업신호 불량, 인양방법 불량"
234,"작업자의 단순과실, 무모한 또는 불필요한 행위 및 동작, 수직도 미확보"
235,"복장, 개인보호구의 부적절한 사용, 부주의"
236,"작업자의 단순과실, 구조물등 그밖의 위험방치 및 미확인"
237,앵커볼트 파손
238,해체작업 순서 불량
239,"설비,기계등의 부적절한 사용 관리, 기계적 결함"
240,"버팀대 설치 미흡, 작업자 하중, 작업자의 단순과실"
241,불연속면 미립자 유실 및 이완하중 증가
242,"중량물 운반, 작업순서 미흡, 중량물 하중집중, 불안전한 작업자세"
243,"작업자의 단순과실, 무모한 또는 불필요한 행위 및 동작"
244,"로프 매듭풀림, 구조물등 그밖의 위험방치 및 미확인, 복장, 개인보호구의 부적절한 사용"
245,"작업자의 단순과실, 해체작업 순서 불량"
246,"작업원 교육 미실시, 구조물등 그밖의 위험방치 및 미확인"
247,"설치 미흡, 복장, 개인보호구의 부적절한 사용, 부주의"
248,"불안전한 작업자세, 설비,기계등의 부적절한 사용 관리, 작업자의 단순과실"
249,"고소작업대 설치 미흡, 지지부재 이탈"
250,"부주의, 불안전한 작업자세"
251,"작업자의 단순과실, 작업 공간 협소 , 작업중 이동, 작업중 충돌"
252,"복장, 개인보호구의 부적절한 사용, 작업중 이동"
253,흙막이가시설 설치시기
254,"불안전한 작업자세, 작업 공간 협소"
255,"설비,기계등의 부적절한 사용 관리, 불안전한 작업자세"
256,"불안전한 작업자세, 조작 미숙"
257,"작업자의 단순과실, 작업신호 불량"
258,"해체작업 방법 불량, 작업자의 단순과실"
259,"불안전한 작업자세, 작업중 충돌"
260,"부주의, 지지구조물 설치 미흡"
261,"작업 공간 협소 , 구조물등 그밖의 위험방치 및 미확인, 작업자의 단순과실"
262,구조 및 주변상황
263,"작업중 이동, 작업순서 미흡"
264,"이동식 비계 조정, 작업하중"
265,1차 숏크리트면의 이물질
266,"해체상태 방치, 해체계획 미수립"
267,"작업중 이동, 장애물 충돌, 불안전한 작업자세"
268,"구조물등 그밖의 위험방치 및 미확인, 불안전한 작업자세"
269,"조립불량, 작업순서 미흡, 작업자의 단순과실"
270,"작업중 충돌, 중량물 하중집중"
271,"작업 공간 협소 , 장비운용 미흡"
272,"중량물 하중집중, 불안전한 작업자세, 무모한 또는 불필요한 행위 및 동작, 작업자의 단순과실"
273,"강성 부족, 철근 전도방지 미조치, 불안전한 작업자세, 무모한 또는 불필요한 행위 및 동작"
274,"부주의, 작업 공간 협소 , 작업신호 불량, 장비운용 미흡"
275,"탈락, 작업중 이동"
276,"돌풍, 지지대 미설치"
277,"긴결 미흡, 부재의 체결강도 미흡"
278,"기타, 작업자의 단순과실"
279,"작업 공간 협소 , 기타"
280,"과하중, 암반층 파쇄대"
281,"복장, 개인보호구의 부적절한 사용, 작업자의 단순과실"
282,"전도 예방조치 미흡, 작업자의 단순과실"
283,"불안전한 작업자세, 부주의"
284,"작업자의 단순과실, 인양방법 불량"
285,"무모한 또는 불필요한 행위 및 동작, 불안전한 작업자세, 작업자의 단순과실"
286,"작업중 이동, 구조물등 그밖의 위험방치 및 미확인, 작업 공간 협소 , 장애물 충돌"
287,"작업 공간 협소 , 불안전한 작업자세, 작업자의 단순과실"
288,"작업자의 단순과실, 구조물등 그밖의 위험방치 및 미확인, 고소작업대 설치 미흡"
289,흙막이 가시설 미설치
290,"불안전한 작업자세, 배관 탈락"
291,"작업자의 단순과실, 자중"
292,"구조물등 그밖의 위험방치 및 미확인, 부주의"
293,"작업중 이동, 구조물등 그밖의 위험방치 및 미확인"
294,"작업자의 단순과실, 조작 미숙"
295,"기타, 불안전한 작업자세, 복장, 개인보호구의 부적절한 사용"
296,"작업순서 미흡, 작업 공간 협소 , 불안전한 작업자세"
297,우수유입
298,"작업중 이동, 장비운용 미흡"
299,해체상태 방치
300,"작업순서 미흡, 불안전한 작업자세, 작업자의 단순과실"
301,"자재불량에 의한 파손, 파손"
302,"작업순서 미흡, 부주의"
303,"작업중 이동, 무모한 또는 불필요한 행위 및 동작"
304,"불안전한 작업자세, 추진방향 판단 미흡"
305,"복장, 개인보호구의 부적절한 사용, 작업자의 단순과실, 구조물등 그밖의 위험방치 및 미확인"
306,동바리 조립도 미작성
307,"작업 공간 협소 , 작업자의 단순과실"
308,"작업자의 단순과실, 앵커강도 미흡"
309,"파손, 조작 미숙"
310,"부주의, 복장, 개인보호구의 부적절한 사용"
311,"작업신호 불량, 작업중 충돌"
312,"작업신호 불량, 조작 미숙, 작업자의 단순과실"
313,"작업신호 불량, 무모한 또는 불필요한 행위 및 동작"
314,"해체작업 방법 불량, 작업신호 불량"
315,"불안전한 작업자세, 복장, 개인보호구의 부적절한 사용, 작업신호 불량"
316,"작업중 이동, 불안전한 작업자세, 작업자의 단순과실"
317,"중량물 하중집중, 불안전한 작업자세, 작업자의 단순과실"
318,"장비운용 미흡, 불안전한 작업자세"
319,"구조물등 그밖의 위험방치 및 미확인, 작업중 이동"
320,"중량물 운반, 적재하중"
321,"작업자의 단순과실, 작업 공간 협소 , 중량물 하중집중"
322,"불안전한 작업자세, 작업자의 단순과실, 작업중 이동"
323,"작업중 이동, 불안전한 작업자세, 무모한 또는 불필요한 행위 및 동작, 복장, 개인보호구의 부적절한 사용"
324,"장비운용 미흡, 작업신호 불량"
325,"작업신호 불량, 작업자의 단순과실"
326,"볼트 결함, 구조물등 그밖의 위험방치 및 미확인"
327,"인양방법 불량, 장애물 충돌"
328,"무모한 또는 불필요한 행위 및 동작, 중량물 하중집중, 불안전한 작업자세"
329,"작업자의 단순과실, 무모한 또는 불필요한 행위 및 동작, 불안전한 작업자세, 기타"
330,"조작 미숙, 불안전한 작업자세, 무모한 또는 불필요한 행위 및 동작"
331,"설비,기계등의 부적절한 사용 관리, 작업자의 단순과실, 작업신호 불량"
332,"무모한 또는 불필요한 행위 및 동작, 작업중 이동"
333,"작업자의 단순과실, 무모한 또는 불필요한 행위 및 동작, 복장, 개인보호구의 부적절한 사용"
334,"부주의, 작업중 이동"
335,"불안전한 작업자세, 작업자의 단순과실, 가설공사 전담기술자 미배치"
336,"작업중 이동, 철근결속 미흡, 작업자의 단순과실"
337,"전도 예방조치 미흡, 불안전한 작업자세"
338,흙막이 지보공 조립 미흡
339,"조작 미숙, 작업자의 단순과실, 무모한 또는 불필요한 행위 및 동작"
340,"무모한 또는 불필요한 행위 및 동작, 불안전한 작업자세"
341,"불안전한 작업자세, 복장, 개인보호구의 부적절한 사용, 연결볼트 해체"
342,"작업자의 단순과실, 불안전한 작업자세, 설비,기계등의 부적절한 사용 관리"
343,"작업자의 단순과실, 가설공사 전담기술자 미배치"
344,"구조 및 주변상황, 돌풍"
345,"복장, 개인보호구의 부적절한 사용, 적재방법 불량"
346,"작업자의 단순과실, 불안전한 작업자세, 복장, 개인보호구의 부적절한 사용"
347,"인양방법 불량, 적재방법 불량"
348,"중량물 하중집중, 무모한 또는 불필요한 행위 및 동작, 작업자의 단순과실"
349,"중량물 하중집중, 작업자의 단순과실"
350,"거푸집 하단 미고정, 작업발판 고정 철선 절단"
351,"작업자의 단순과실, 복장, 개인보호구의 부적절한 사용, 무모한 또는 불필요한 행위 및 동작"
352,"불안전한 작업자세, 구조물등 그밖의 위험방치 및 미확인"
353,"부주의, 적재방법 불량"
354,타설속도 미준수
355,"해체작업 방법 불량, 해체작업 순서 불량, 작업자의 단순과실, 불안전한 작업자세"
356,"구조 및 주변상황, 구조물등 그밖의 위험방치 및 미확인"
357,"부주의, 구조물등 그밖의 위험방치 및 미확인, 작업자의 단순과실"
358,"작업자의 단순과실, 적재방법 불량"
359,"무모한 또는 불필요한 행위 및 동작, 작업자의 단순과실, 작업신호 불량"
360,"돌풍, 기타"
361,"우수유입, 작업자의 단순과실"
362,"무모한 또는 불필요한 행위 및 동작, 장비운용 미흡"
363,"복장, 개인보호구의 부적절한 사용, 자재불량에 의한 파손"
364,"작업신호 불량, 구조물등 그밖의 위험방치 및 미확인"
365,"구조물등 그밖의 위험방치 및 미확인, 기타"
366,지지용 앵커 탈락
367,"작업자의 단순과실, 크레인줄걸이"
368,보강재 미설치
369,"과하중, 긴결 미흡, 지지대 미설치"
370,"작업자의 단순과실, 추진방향 판단 미흡"
371,"작업신호 불량, 작업 공간 협소"
372,인양 및 선회 작업순서 불량
373,"작업중 이동, 지지대 미설치"
374,"부주의, 작업중 이동, 불안전한 작업자세, 작업자의 단순과실"
375,"작업신호 불량, 작업 공간 협소 , 중량물 운반"
376,"작업신호 불량, 설치방법 불량, 불안전한 작업자세"
377,"절단방향 판단 오류, 불안전한 작업자세"
378,"불안전한 작업자세, 작업 공간 협소 , 중량물 운반"
379,"장애물 충돌, 작업자의 단순과실"
380,"작업 공간 협소 , 작업중 이동"
381,"구조물등 그밖의 위험방치 및 미확인, 복장, 개인보호구의 부적절한 사용, 부주의"
382,"지지구조물 설치 미흡, 구조물등 그밖의 위험방치 및 미확인"
383,"부주의, 무모한 또는 불필요한 행위 및 동작, 기타"
384,"구조 및 주변상황, 부주의"
385,"불안전한 작업자세, 구조물등 그밖의 위험방치 및 미확인, 복장, 개인보호구의 부적절한 사용"
386,"불안전한 작업자세, 작업중 이동, 설치방법 불량"
387,"방호시설 미설치, 부주의, 작업자의 단순과실"
388,"굴착면 기울기, 작업중 이동"
389,"해체작업 방법 불량, 버팀대 설치 미흡"
390,"이동식 비계 조정, 작업자의 단순과실"
391,락볼트 정착방법
392,"작업순서 미흡, 작업중 이동"
393,"철거 잔재물 적치, 구조물등 그밖의 위험방치 및 미확인"
394,연약대 및 절리
395,"작업중 이동, 전도 예방조치 미흡"
396,"설치작업순서 미준수, 작업자의 단순과실"
397,"작업중 충돌, 구조물등 그밖의 위험방치 및 미확인"
398,"무모한 또는 불필요한 행위 및 동작, 구조물등 그밖의 위험방치 및 미확인"
399,"작업자의 단순과실, 지지대 미설치, 작업중 이동, 작업자 하중"
400,"해체작업 방법 불량, 해체작업 순서 불량, 구조물등 그밖의 위험방치 및 미확인, 불안전한 작업자세, 설비,기계등의 부적절한 사용 관리"
401,"구조물등 그밖의 위험방치 및 미확인, 불안전한 작업자세, 작업자의 단순과실"
402,"불안전한 작업자세, 작업자의 단순과실, 복장, 개인보호구의 부적절한 사용"
403,"작업중 이동, 구조물등 그밖의 위험방치 및 미확인, 작업자의 단순과실"
404,"복장, 개인보호구의 부적절한 사용, 작업자의 단순과실, 지지구조물 설치 미흡"
405,"작업자의 단순과실, 작업 공간 협소"
406,"고소작업대 설치 미흡, 불안전한 작업자세"
407,지보조치 미흡
408,"불안전한 작업자세, 작업중 이동, 작업자의 단순과실"
409,"작업순서 미흡, 조작 미숙, 불안전한 작업자세, 작업자의 단순과실"
410,"설치방법 불량, 설치작업순서 미준수"
411,"중량물 하중집중, 중량물 운반"
412,"구조물등 그밖의 위험방치 및 미확인, 무모한 또는 불필요한 행위 및 동작"
413,공기역학적 하중
414,"작업신호 불량, 장비운용 미흡"
415,"기타, 부주의"
416,"연결부 파손 , 부주의"
417,"인양로프 해체방법 미흡, 적재방법 불량"
418,"작업중 이동, 작업자의 단순과실, 불안전한 작업자세"
419,"중량물 운반, 작업 공간 협소"
420,"중량물 운반, 무모한 또는 불필요한 행위 및 동작"
421,"지지대 미설치, 탈락"
422,"작업 공간 협소 , 작업중 이동, 작업자의 단순과실"
423,"불안전한 작업자세, 무모한 또는 불필요한 행위 및 동작, 작업자의 단순과실, 기타"
424,"불안전한 작업자세, 지반상태 불량"
425,"거푸집 하단 미고정, 작업자 하중"
426,"중량물 하중집중, 설비,기계등의 부적절한 사용 관리"
427,"조작 미숙, 부주의"
428,"무모한 또는 불필요한 행위 및 동작, 작업신호 불량"
429,"복장, 개인보호구의 부적절한 사용, 불안전한 작업자세"
430,"작업하중, 중량물 운반"
431,"조작 미숙, 무모한 또는 불필요한 행위 및 동작"
432,"복장, 개인보호구의 부적절한 사용, 작업자의 단순과실, 설비,기계등의 부적절한 사용 관리"
433,"해체작업 방법 불량, 인양방법 불량"
434,"중량물 운반, 작업신호 불량"
435,"작업자의 단순과실, 무모한 또는 불필요한 행위 및 동작, 작업 공간 협소 , 작업순서 미흡"
436,"인양로프 해체방법 미흡, 인양방법 불량"
437,"작업중 이동, 부주의"
438,"부주의, 결속벤딩 해체, 불안전한 작업자세, 복장, 개인보호구의 부적절한 사용, 작업자의 단순과실"
439,"설치 미흡, 설치방법 불량, 작업중 충돌"
440,"기타, 결속벤딩 해체"
441,"기계적 결함, 장비운용 미흡"
442,"작업신호 불량, 무모한 또는 불필요한 행위 및 동작, 불안전한 작업자세"
443,임시 받침목 제거
444,"불안전한 작업자세, 중량물 운반"
445,"용접부위 파단, 목표 용접강도 미확보, 용접불량, 작업원 교육 미실시, 불안전한 작업자세, 복장, 개인보호구의 부적절한 사용"
446,"고소작업대 설치 미흡, 해체작업 방법 불량, 복장, 개인보호구의 부적절한 사용"
447,"작업 공간 협소 , 토사층"
448,"불안전한 작업자세, 설치작업순서 미준수"
449,"자중, 작업 공간 협소 , 작업자의 단순과실, 불안전한 작업자세"
450,"조립불량, 지지구조물 설치 미흡, 작업자의 단순과실"
451,"작업순서 미흡, 작업신호 불량, 작업자의 단순과실"
452,집중타설
453,"파손, 작업자 하중, 작업중 이동"
454,"부주의, 해체작업 방법 불량"
455,"작업 공간 협소 , 불안전한 작업자세"
456,"작업중 충돌, 장애물 충돌"
457,"장애물 충돌, 해체상태 방치, 작업자의 단순과실"
458,"작업원 교육 미실시, 작업신호 불량"
459,"설비,기계등의 부적절한 사용 관리, 무모한 또는 불필요한 행위 및 동작, 복장, 개인보호구의 부적절한 사용"
460,"장비운용 미흡, 조작 미숙, 작업자의 단순과실"
461,"기계적 결함, 장비운용 미흡, 작업자의 단순과실"
462,"과하중, 중량물 운반"
463,"부주의, 장비운용 미흡, 장애물 충돌, 구조물등 그밖의 위험방치 및 미확인, 조작 미숙, 작업자의 단순과실"
464,"부주의, 작업신호 불량, 작업자의 단순과실"
465,"작업자의 단순과실, 버팀목 설치 미흡"
466,"설치방법 불량, 설비,기계등의 부적절한 사용 관리, 작업자의 단순과실"
467,"중량물 운반, 부주의, 무모한 또는 불필요한 행위 및 동작"
468,설계도서 임의변경 시공
469,"고소작업대 설치 미흡, 복장, 개인보호구의 부적절한 사용"
470,"해체작업 순서 불량, 작업신호 불량"
471,"자재불량에 의한 파손, 복장, 개인보호구의 부적절한 사용"
472,"작업중 이동, 장애물 충돌, 작업자의 단순과실"
473,"작업중 충돌, 기타"
474,"설치방법 불량, 인양로프 해체방법 미흡, 작업신호 불량"
475,"지지대 미설치, 복장, 개인보호구의 부적절한 사용, 구조물등 그밖의 위험방치 및 미확인"
476,"해체작업 방법 불량, 해체작업 순서 불량, 불안전한 작업자세, 무모한 또는 불필요한 행위 및 동작"
477,"지지구조물 설치 미흡, 불안전한 작업자세, 작업자의 단순과실"
478,"거푸집 긴결재/앵커 해체, 해체작업 방법 불량"
479,"적재방법 불량, 무모한 또는 불필요한 행위 및 동작"
480,"조작 미숙, 작업중 충돌, 장비운용 미흡"
481,"수직철근 분절시공 미실시, 수직철도 전도"
482,"작업하중, 해체작업 방법 불량, 작업자의 단순과실"
483,"기계적 결함, 구조물등 그밖의 위험방치 및 미확인"
484,"설비,기계등의 부적절한 사용 관리, 무모한 또는 불필요한 행위 및 동작, 작업자의 단순과실"
485,"부주의, 부주의"
486,"불안전한 작업자세, 이동식 비계 조정"
487,"유도자 미배치, 구조물등 그밖의 위험방치 및 미확인"
488,
489,"중량물 운반, 중량물 하중집중"
490,"적재방법 불량, 중량물 하중집중, 작업자의 단순과실"
491,"중량물 하중집중, 인양방법 불량, 작업중 충돌"
492,"작업순서 미흡, 작업자의 단순과실, 불안전한 작업자세"
493,"긴결 미흡, 작업중 이동, 충격하중"
494,"긴결 미흡, 작업전 부석, 균열, 함수 등 변화 점검 미흡"
495,"작업 공간 협소 , 조작 미숙"
496,"고소작업대 설치 미흡, 복장, 개인보호구의 부적절한 사용, 불안전한 작업자세"
497,"중량물 하중집중, 지반상태 불량"
498,"무모한 또는 불필요한 행위 및 동작, 작업순서 미흡, 작업중 충돌"
499,자중
500,"해체작업 순서 불량, 불안전한 작업자세"
501,"철거 잔재물 적치, 작업중 이동"
502,"해체작업 순서 불량, 해체작업 방법 불량"
503,"조작 미숙, 작업신호 불량"
504,"작업중 이동, 전도 예방조치 미흡, 불안전한 작업자세, 무모한 또는 불필요한 행위 및 동작"
505,"낙뢰, 풍화암층 파쇄대"
506,"불안전한 작업자세, 작업자의 단순과실, 작업순서 미흡, 장비운용 미흡"
507,"작업중 이동, 불안전한 작업자세"
508,파이핑
509,"장비운용 미흡, 작업자의 단순과실"
510,"작업 공간 협소 , 구조물등 그밖의 위험방치 및 미확인"
511,"불안전한 작업자세, 복장, 개인보호구의 부적절한 사용, 작업자의 단순과실, 작업중 이동"
512,"거푸집 긴결재/앵커 해체, 불안전한 작업자세"
513,"장비운용 미흡, 설비,기계등의 부적절한 사용 관리"
514,"기타, 부주의, 불안전한 작업자세, 작업자의 단순과실"
515,"작업자의 단순과실, 부주의, 기타"
516,과도한 토압
517,"부주의, 작업 공간 협소 , 작업순서 미흡, 불안전한 작업자세"
518,"설비,기계등의 부적절한 사용 관리, 작업자의 단순과실"
519,수직철근 분절시공 미실시
520,"조작 미숙, 장비운용 미흡"
521,"작업자의 단순과실, 유도자 미배치"
522,"작업중 이동, 자중, 부주의, 무모한 또는 불필요한 행위 및 동작"
